,precursor,pyrolysis T (K),activator_name,activator_ratio,BET (m2/g),T ads (K),P ads (bar),CO2 ads (mmol/g),pore volume (cm3/g),C (%),N (%),H (%),S (%),O (%),ash (%),VM (%),FC (%),H/O (molar),O/C (molar),H/C (molar),(O+N)/C (molar),strat
104,almond shells,973,CO2,0.0,1090.0,298,1.0,2.66,0.5,50.73,0.3,6.02,0.59,41.06,1.3,82.3,16.4,2.35,0.61,1.42,0.61,True
105,almond shells,973,CO2,0.0,1090.0,373,1.0,0.93,0.5,50.73,0.3,6.02,0.59,41.06,1.3,82.3,16.4,2.35,0.61,1.42,0.61,False
106,almond shells,973,CO2,0.0,1090.0,298,0.15,1.14,0.5,50.73,0.3,6.02,0.59,41.06,1.3,82.3,16.4,2.35,0.61,1.42,0.61,False
107,bamboo,1246,KOH-1,1.0,930.0,298,0.9,3.7,0.41,51.49,0.4,5.09,0.04,41.96,1.02,81.54,17.44,1.94,0.61,1.19,0.62,True
108,bamboo,1246,KOH-1,1.0,930.0,298,1.0,3.8,0.41,51.49,0.4,5.09,0.04,41.96,1.02,81.54,17.44,1.94,0.61,1.19,0.62,True
109,eucalyptus sawdust,873,KOH-2,2.0,1260.0,273,1.0,6.1,0.62,46.8,0.1,6.1,0.0,46.5,0.5,84.6,14.9,2.1,0.75,1.56,0.75,True
110,eucalyptus sawdust,923,KOH-2,2.0,1380.0,273,1.0,6.0,0.67,46.8,0.1,6.1,0.0,46.5,0.5,84.6,14.9,2.1,0.75,1.56,0.75,True
111,eucalyptus sawdust,973,KOH-2,2.0,1390.0,273,1.0,6.6,0.69,46.8,0.1,6.1,0.0,46.5,0.5,84.6,14.9,2.1,0.75,1.56,0.75,True
112,eucalyptus sawdust,1073,KOH-2,2.0,1940.0,273,1.0,5.8,0.97,46.8,0.1,6.1,0.0,46.5,0.5,84.6,14.9,2.1,0.75,1.56,0.75,True
113,eucalyptus sawdust,873,KOH-4,4.0,2370.0,273,1.0,5.2,1.15,46.8,0.1,6.1,0.0,46.5,0.5,84.6,14.9,2.1,0.75,1.56,0.75,True
114,eucalyptus sawdust,973,KOH-4,4.0,2250.0,273,1.0,5.5,1.03,46.8,0.1,6.1,0.0,46.5,0.5,84.6,14.9,2.1,0.75,1.56,0.75,True
115,eucalyptus sawdust,1073,KOH-4,4.0,2850.0,273,1.0,5.2,1.35,46.8,0.1,6.1,0.0,46.5,0.5,84.6,14.9,2.1,0.75,1.56,0.75,True
116,eucalyptus sawdust,873,KOH-2,2.0,1260.0,298,1.0,4.8,0.62,46.8,0.1,6.1,0.0,46.5,0.5,84.6,14.9,2.1,0.75,1.56,0.75,True
117,eucalyptus sawdust,923,KOH-2,2.0,1380.0,298,1.0,4.7,0.67,46.8,0.1,6.1,0.0,46.5,0.5,84.6,14.9,2.1,0.75,1.56,0.75,True
118,eucalyptus sawdust,973,KOH-2,2.0,1390.0,298,1.0,4.3,0.69,46.8,0.1,6.1,0.0,46.5,0.5,84.6,14.9,2.1,0.75,1.56,0.75,True
119,eucalyptus sawdust,1073,KOH-2,2.0,1940.0,298,1.0,3.9,0.97,46.8,0.1,6.1,0.0,46.5,0.5,84.6,14.9,2.1,0.75,1.56,0.75,True
120,eucalyptus sawdust,873,KOH-4,4.0,2370.0,298,1.0,2.9,1.15,46.8,0.1,6.1,0.0,46.5,0.5,84.6,14.9,2.1,0.75,1.56,0.75,True
121,eucalyptus sawdust,973,KOH-4,4.0,2250.0,298,1.0,2.9,1.03,46.8,0.1,6.1,0.0,46.5,0.5,84.6,14.9,2.1,0.75,1.56,0.75,True
122,eucalyptus sawdust,1073,KOH-4,4.0,2850.0,298,1.0,3.0,1.35,46.8,0.1,6.1,0.0,46.5,0.5,84.6,14.9,2.1,0.75,1.56,0.75,True
123,eucalyptus sawdust,873,KOH-2,2.0,1260.0,323,1.0,3.6,0.62,46.8,0.1,6.1,0.0,46.5,0.5,84.6,14.9,2.1,0.75,1.56,0.75,True
124,eucalyptus sawdust,923,KOH-2,2.0,1380.0,323,1.0,3.3,0.67,46.8,0.1,6.1,0.0,46.5,0.5,84.6,14.9,2.1,0.75,1.56,0.75,True
125,eucalyptus sawdust,973,KOH-2,2.0,1390.0,323,1.0,2.6,0.69,46.8,0.1,6.1,0.0,46.5,0.5,84.6,14.9,2.1,0.75,1.56,0.75,True
126,eucalyptus sawdust,1073,KOH-2,2.0,1940.0,323,1.0,3.1,0.97,46.8,0.1,6.1,0.0,46.5,0.5,84.6,14.9,2.1,0.75,1.56,0.75,True
127,eucalyptus sawdust,973,KOH-4,4.0,2250.0,323,1.0,1.8,1.03,46.8,0.1,6.1,0.0,46.5,0.5,84.6,14.9,2.1,0.75,1.56,0.75,False
128,tobacco stem,873,KOH-2,2.0,2690.0,298,1.0,3.35,1.36,37.62,2.23,4.25,1.15,32.69,22.06,64.42,13.52,2.08,0.65,1.36,0.7,True
129,tobacco stem,973,KOH-2,2.0,3325.0,298,1.0,3.2,1.71,37.62,2.23,4.25,1.15,32.69,22.06,64.42,13.52,2.08,0.65,1.36,0.7,True
130,tobacco stem,1073,KOH-2,2.0,3839.0,298,1.0,2.3,2.3,37.62,2.23,4.25,1.15,32.69,22.06,64.42,13.52,2.08,0.65,1.36,0.7,False
131,tobacco stem,1173,KOH-2,2.0,3391.0,298,1.0,1.5,2.72,37.62,2.23,4.25,1.15,32.69,22.06,64.42,13.52,2.08,0.65,1.36,0.7,False
132,tobacco stem,873,KOH-2,2.0,2690.0,298,0.8,2.7,1.36,37.62,2.23,4.25,1.15,32.69,22.06,64.42,13.52,2.08,0.65,1.36,0.7,True
133,tobacco stem,973,KOH-2,2.0,3325.0,298,0.8,2.5,1.71,37.62,2.23,4.25,1.15,32.69,22.06,64.42,13.52,2.08,0.65,1.36,0.7,False
134,tobacco stem,1073,KOH-2,2.0,3839.0,298,0.8,1.7,2.3,37.62,2.23,4.25,1.15,32.69,22.06,64.42,13.52,2.08,0.65,1.36,0.7,False
135,tobacco stem,1173,KOH-2,2.0,3391.0,298,0.8,1.1,2.72,37.62,2.23,4.25,1.15,32.69,22.06,64.42,13.52,2.08,0.65,1.36,0.7,False
136,tobacco stem,873,KOH-2,2.0,2690.0,298,0.6,2.1,1.36,37.62,2.23,4.25,1.15,32.69,22.06,64.42,13.52,2.08,0.65,1.36,0.7,False
137,tobacco stem,973,KOH-2,2.0,3325.0,298,0.6,1.8,1.71,37.62,2.23,4.25,1.15,32.69,22.06,64.42,13.52,2.08,0.65,1.36,0.7,False
138,tobacco stem,1073,KOH-2,2.0,3839.0,298,0.6,1.1,2.3,37.62,2.23,4.25,1.15,32.69,22.06,64.42,13.52,2.08,0.65,1.36,0.7,False
139,tobacco stem,1173,KOH-2,2.0,3391.0,298,0.6,0.8,2.72,37.62,2.23,4.25,1.15,32.69,22.06,64.42,13.52,2.08,0.65,1.36,0.7,False
140,tobacco stem,873,KOH-2,2.0,2690.0,298,0.4,1.6,1.36,37.62,2.23,4.25,1.15,32.69,22.06,64.42,13.52,2.08,0.65,1.36,0.7,False
141,tobacco stem,973,KOH-2,2.0,3325.0,298,0.4,1.2,1.71,37.62,2.23,4.25,1.15,32.69,22.06,64.42,13.52,2.08,0.65,1.36,0.7,False
142,tobacco stem,1073,KOH-2,2.0,3839.0,298,0.4,0.9,2.3,37.62,2.23,4.25,1.15,32.69,22.06,64.42,13.52,2.08,0.65,1.36,0.7,False
143,tobacco stem,1173,KOH-2,2.0,3391.0,298,0.4,0.6,2.72,37.62,2.23,4.25,1.15,32.69,22.06,64.42,13.52,2.08,0.65,1.36,0.7,False
144,tobacco stem,873,KOH-2,2.0,2690.0,298,0.2,0.9,1.36,37.62,2.23,4.25,1.15,32.69,22.06,64.42,13.52,2.08,0.65,1.36,0.7,False
145,tobacco stem,973,KOH-2,2.0,3325.0,298,0.2,0.7,1.71,37.62,2.23,4.25,1.15,32.69,22.06,64.42,13.52,2.08,0.65,1.36,0.7,False
146,tobacco stem,1073,KOH-2,2.0,3839.0,298,0.2,0.5,2.3,37.62,2.23,4.25,1.15,32.69,22.06,64.42,13.52,2.08,0.65,1.36,0.7,False
147,tobacco stem,1173,KOH-2,2.0,3391.0,298,0.2,0.3,2.72,37.62,2.23,4.25,1.15,32.69,22.06,64.42,13.52,2.08,0.65,1.36,0.7,False
148,vine shoots,1073,CO2,0.0,767.0,273,0.15,1.89,0.374,47.1,0.66,5.29,0.56,45.4,0.99,68.1,30.91,1.86,0.72,1.35,0.73,False
149,vine shoots,1073,CO2,0.0,767.0,273,1.0,4.07,0.374,47.1,0.66,5.29,0.56,45.4,0.99,68.1,30.91,1.86,0.72,1.35,0.73,True
