precursor,pyrolysis T (K),activator_name,activator_ratio,BET (m2/g),T ads (K),P ads (bar),CO2 ads (mmol/g),pore volume (cm3/g),C (%),N (%),H (%),S (%),O (%),ash (%),VM (%),FC (%),H/O (molar),O/C (molar),H/C (molar),(O+N)/C (molar)
olive stones,1073,CO2,0,1215,373,1,0.8,0.51,51.19,0.20,5.95,0.50,41.37,0.80,85.40,13.80,2.30,0.61,1.40,0.61
olive stones,1073,CO2,0,1215,273,0.96,4.7,0.51,51.19,0.20,5.95,0.50,41.37,0.80,85.40,13.80,2.30,0.61,1.40,0.61
olive stones,1073,CO2,0,1215,273,0.83,4.4,0.51,51.19,0.20,5.95,0.50,41.37,0.80,85.40,13.80,2.30,0.61,1.40,0.61
olive stones,1073,CO2,0,1215,273,0.5,3.45,0.51,51.19,0.20,5.95,0.50,41.37,0.80,85.40,13.80,2.30,0.61,1.40,0.61
olive stones,1073,CO2,0,1215,273,0.2,2.2,0.51,51.19,0.20,5.95,0.50,41.37,0.80,85.40,13.80,2.30,0.61,1.40,0.61
olive stones,1073,CO2,0,1215,273,0.1,1.35,0.51,51.19,0.20,5.95,0.50,41.37,0.80,85.40,13.80,2.30,0.61,1.40,0.61
olive stones,1073,CO2,0,1215,298,0.9,2.9,0.51,51.19,0.20,5.95,0.50,41.37,0.80,85.40,13.80,2.30,0.61,1.40,0.61
olive stones,1073,CO2,0,1215,298,0.83,2.7,0.51,51.19,0.20,5.95,0.50,41.37,0.80,85.40,13.80,2.30,0.61,1.40,0.61
olive stones,1073,CO2,0,1215,298,0.5,2.2,0.51,51.19,0.20,5.95,0.50,41.37,0.80,85.40,13.80,2.30,0.61,1.40,0.61
olive stones,1073,CO2,0,1215,298,0.2,1.25,0.51,51.19,0.20,5.95,0.50,41.37,0.80,85.40,13.80,2.30,0.61,1.40,0.61
olive stones,1073,CO2,0,1215,298,0.1,0.75,0.51,51.19,0.20,5.95,0.50,41.37,0.80,85.40,13.80,2.30,0.61,1.40,0.61
olive stones,1073,CO2,0,1215,323,0.96,1.8,0.51,51.19,0.20,5.95,0.50,41.37,0.80,85.40,13.80,2.30,0.61,1.40,0.61
olive stones,1073,CO2,0,1215,323,0.83,1.6,0.51,51.19,0.20,5.95,0.50,41.37,0.80,85.40,13.80,2.30,0.61,1.40,0.61
olive stones,1073,CO2,0,1215,323,0.5,1.35,0.51,51.19,0.20,5.95,0.50,41.37,0.80,85.40,13.80,2.30,0.61,1.40,0.61
olive stones,1073,CO2,0,1215,323,0.2,0.65,0.51,51.19,0.20,5.95,0.50,41.37,0.80,85.40,13.80,2.30,0.61,1.40,0.61
olive stones,1073,CO2,0,1215,323,0.1,0.4,0.51,51.19,0.20,5.95,0.50,41.37,0.80,85.40,13.80,2.30,0.61,1.40,0.61
olive stones,1073,CO2,0,1079,298,1,2.43,0.502,51.19,0.20,5.95,0.50,41.37,0.80,85.40,13.80,2.30,0.61,1.40,0.61
